Case #,Tl,Tv,L,V,alpha,w_MEA,y_H2O,y_CO2,H,VLE-lwm_coeff_1,VLE-lwm_coeff_2,VLE-lwm_coeff_3,VLE-lwm_coeff_4,surface_tension-surf_tens_CO2_coeff_1,surface_tension-surf_tens_CO2_coeff_2,surface_tension-surf_tens_CO2_coeff_3,surface_tension-surf_tens_CO2_coeff_4,surface_tension-surf_tens_CO2_coeff_5,surface_tension-surf_tens_CO2_coeff_6,surface_tension-surf_tens_F_coeff_a,surface_tension-surf_tens_F_coeff_b,surface_tension-surf_tens_F_coeff_c,surface_tension-surf_tens_F_coeff_d,surface_tension-surf_tens_F_coeff_e,surface_tension-surf_tens_F_coeff_f,surface_tension-surf_tens_F_coeff_g,surface_tension-surf_tens_F_coeff_h,surface_tension-surf_tens_F_coeff_i,surface_tension-surf_tens_F_coeff_j,molar_volume-vol_mol_liq_comp_coeff_a,molar_volume-vol_mol_liq_comp_coeff_b,molar_volume-vol_mol_liq_comp_coeff_c,molar_volume-vol_mol_liq_comp_coeff_d,molar_volume-vol_mol_liq_comp_coeff_e,viscosity-visc_d_coeff_a,viscosity-visc_d_coeff_b,viscosity-visc_d_coeff_c,viscosity-visc_d_coeff_d,viscosity-visc_d_coeff_e,viscosity-visc_d_coeff_f,viscosity-visc_d_coeff_g
23,315.71,319.55,0.7197,0.1265,0.25,0.31,0.014,0.11,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
24,316.52,320.80,0.7172,0.0915,0.28,0.29,0.011,0.11,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
25,311.45,322.54,0.5729,0.1214,0.32,0.30,0.012,0.11,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
26,312.53,319.34,0.5831,0.0827,0.29,0.31,0.011,0.13,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
27,313.12,320.56,0.7078,0.1421,0.24,0.29,0.012,0.12,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
28,311.97,318.71,0.7594,0.0847,0.32,0.28,0.011,0.14,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
29,315.83,319.48,0.6854,0.0883,0.33,0.31,0.013,0.13,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
30,315.26,322.84,0.6374,0.1293,0.25,0.29,0.011,0.12,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
31,316.03,319.94,0.6285,0.1118,0.23,0.28,0.013,0.13,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
32,312.75,317.73,0.6482,0.1519,0.25,0.31,0.011,0.11,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
