Runs,L,G,alpha,w_MEA,y_CO2,CO2 CAP%,Results
244,1.775195139,0.623236927,0.087815278,0.303376962,0.086826772,94.99,"Solved? Yes, with 07 obj function evaluations"
245,1.048689302,0.735866159,0.12529124,0.310793969,0.090947563,93.59,"Solved? Yes, with 06 obj function evaluations"
247,2.090134445,0.748005634,0.190110565,0.304140099,0.096751949,89.83,"Solved? Yes, with 09 obj function evaluations"
248,1.446913399,0.767909671,0.192853813,0.298528039,0.087456571,90.05,"Solved? Yes, with 09 obj function evaluations"
249,1.461206611,0.748688563,0.23803614,0.30396931,0.1084911,78.29,"Solved? Yes, with 05 obj function evaluations"
251,1.946643882,0.51502777,0.261569306,0.284543552,0.084091547,93.71,"Solved? Yes, with 09 obj function evaluations"
254,2.176536741,0.560084258,0.246096643,0.314150087,0.104559639,95.4,"Solved? Yes, with 18 obj function evaluations"
255,2.385802976,0.427407313,0.122814063,0.289605684,0.112979602,96.13,"Solved? Yes, with 11 obj function evaluations"
256,2.210721803,0.691743069,0.214697428,0.287650242,0.095426179,87.17,"Solved? Yes, with 08 obj function evaluations"
257,2.127866059,0.491366253,0.156902352,0.295418328,0.103786677,96.02,"Solved? Yes, with 09 obj function evaluations"
258,2.344920004,0.603571391,0.173892347,0.294447962,0.099328904,91.58,"Solved? Yes, with 07 obj function evaluations"
259,2.697485913,0.597510727,0.091384925,0.299542457,0.111484123,89.95,"Solved? Yes, with 07 obj function evaluations"
260,1.472671992,0.679158842,0.206375998,0.289102271,0.095115652,90.05,"Solved? Yes, with 09 obj function evaluations"
261,2.303630666,0.491883214,0.220793967,0.284870959,0.110891782,93.59,"Solved? Yes, with 08 obj function evaluations"
262,1.059314595,0.745223429,0.226390682,0.296064711,0.092603943,72.26,"Solved? Yes, with 04 obj function evaluations"
264,2.352089981,0.769979154,0.187611325,0.313689188,0.108823279,89.13,"Solved? Yes, with 09 obj function evaluations"
265,2.47427099,0.521571262,0.265675504,0.30037703,0.088237505,93.24,"Solved? Yes, with 07 obj function evaluations"
267,1.330200574,0.663485902,0.115839631,0.304932722,0.109145029,96.21,"Solved? Yes, with 22 obj function evaluations"
268,1.894658348,0.538734925,0.193925074,0.303604677,0.111111639,96.46,"Solved?  No, with 25 obj function evaluations"
271,1.434777852,0.557682895,0.252553441,0.3083233,0.099195719,95.9,"Solved? Yes, with 08 obj function evaluations"
272,1.752889184,0.399807156,0.20027661,0.312425904,0.102133624,99.3,"Solved? Yes, with 17 obj function evaluations"
273,2.659848554,0.478348068,0.239116601,0.310340535,0.094379822,95.5,"Solved? Yes, with 07 obj function evaluations"
274,2.672297544,0.573142601,0.07284407,0.277411344,0.11022304,87.83,"Solved? Yes, with 05 obj function evaluations"
276,2.150314563,0.604615807,0.188428013,0.297535427,0.100929596,92.95,"Solved? Yes, with 08 obj function evaluations"
278,1.163013245,0.502245256,0.152289885,0.285701269,0.087413121,98.7,"Solved? Yes, with 20 obj function evaluations"
279,1.399155927,0.548523958,0.133194435,0.289921151,0.093298335,97.49,"Solved? Yes, with 22 obj function evaluations"
281,1.515131527,0.63654088,0.121604605,0.292145933,0.08810418,95.42,"Solved? Yes, with 12 obj function evaluations"
282,1.781588625,0.405037389,0.254476023,0.283851826,0.092465633,97.63,"Solved? Yes, with 10 obj function evaluations"
283,0.989242777,0.720180461,0.105160978,0.312739718,0.098780133,92.07,"Solved? Yes, with 05 obj function evaluations"
284,1.010635971,0.645871233,0.140852816,0.316900505,0.10996058,91.4,"Solved? Yes, with 05 obj function evaluations"
285,1.008470646,0.745711399,0.17168735,0.278944449,0.108698803,65.79,"Solved? Yes, with 04 obj function evaluations"
286,1.96636486,0.761279299,0.216840687,0.302871408,0.096636013,88.75,"Solved? Yes, with 21 obj function evaluations"
287,1.692980056,0.430114198,0.189256335,0.288295492,0.097801918,98.21,"Solved? Yes, with 14 obj function evaluations"
288,1.854892365,0.699101414,0.119591099,0.27984396,0.109052004,89.45,"Solved? Yes, with 10 obj function evaluations"
289,2.02043018,0.543589276,0.092054471,0.310640032,0.088279484,95.98,"Solved? Yes, with 10 obj function evaluations"
290,1.064040498,0.678787345,0.162704317,0.281836778,0.094236427,84.41,"Solved? Yes, with 05 obj function evaluations"
