L,alpha,y_CO2,G,w_MEA,CO2_Cap,Sim_time,L_G,CO2_Error
198.6557603,0.164120338,0.06756173,79.67452437,0.318535123,0.988,13.9,2.493341025,0.006
198.6557603,0.164120338,0.069263002,85.01438022,0.318535123,0.9252,15.9,2.336731266,0.0032
198.6557603,0.164120338,0.069263002,79.67452437,0.301889665,0.9438,13.5,2.493341025,0.0226
198.6557603,0.164120338,0.069263002,79.67452437,0.318535123,0.9757,15.6,2.493341025,0.0118
171.7352903,0.144927126,0.07793793,83.18737268,0.290443623,0.8036,9.5,2.064439406,0.0068
184.4039476,0.144927126,0.07793793,83.18737268,0.290443623,0.8197,9.3,2.216730035,0.0025
171.7352903,0.144472485,0.07793793,83.18737268,0.290443623,0.8043,11.3,2.064439406,0.0054
171.7352903,0.144927126,0.078267342,83.18737268,0.290443623,0.8002,12.1,2.064439406,0.0111
171.7352903,0.144927126,0.07793793,90.78549147,0.290443623,0.7377,13.6,1.891660083,0.0021
171.7352903,0.144927126,0.07793793,83.18737268,0.288448046,0.799,10.3,2.064439406,0.0044
171.7352903,0.144472485,0.078267342,90.78549147,0.288448046,0.7308,13.8,1.891660083,0.0019
184.4039476,0.144927126,0.078267342,90.78549147,0.288448046,0.7451,9.9,2.031205037,0.0029
184.4039476,0.144472485,0.07793793,90.78549147,0.288448046,0.749,11.8,2.031205037,0.0032
184.4039476,0.144472485,0.078267342,83.18737268,0.288448046,0.8122,8.9,2.216730035,0.0041
184.4039476,0.144472485,0.078267342,90.78549147,0.290443623,0.75,22.6,2.031205037,0.0109
184.4039476,0.144472485,0.078267342,90.78549147,0.288448046,0.7457,10.4,2.031205037,0.0007
170.0591809,0.162275822,0.06182851,94.08369899,0.310629339,0.8828,14.9,1.80753077,0.021
192.2921395,0.162275822,0.06182851,94.08369899,0.310629339,0.9079,9.6,2.043841192,0.0035
170.0591809,0.132946655,0.06182851,94.08369899,0.310629339,0.9372,15.3,1.80753077,0.0005
170.0591809,0.162275822,0.069625075,94.08369899,0.310629339,0.7973,11,1.80753077,0.0048
170.0591809,0.162275822,0.06182851,93.3859241,0.310629339,0.889,12.8,1.821036548,0.0166
170.0591809,0.162275822,0.06182851,94.08369899,0.316973712,0.8972,9.4,1.80753077,0.0008
170.0591809,0.132946655,0.069625075,93.3859241,0.316973712,0.8698,21,1.821036548,0.0198
192.2921395,0.162275822,0.069625075,93.3859241,0.316973712,0.8403,11.6,2.05911267,0.0016
192.2921395,0.132946655,0.06182851,93.3859241,0.316973712,0.9763,10.1,2.05911267,0.0061
192.2921395,0.132946655,0.069625075,94.08369899,0.316973712,0.8879,10,2.043841192,0.0015
192.2921395,0.132946655,0.069625075,93.3859241,0.310629339,0.8808,10.7,2.05911267,0.0043
192.2921395,0.132946655,0.069625075,93.3859241,0.316973712,0.8941,10.2,2.05911267,0.001
199.6994519,0.142520941,0.071423013,77.23817065,0.281685662,0.9421,12.6,2.585502094,0.0052
165.9188941,0.142520941,0.071423013,77.23817065,0.281685662,0.9007,8.8,2.148146347,0.0013
199.6994519,0.153141303,0.071423013,77.23817065,0.281685662,0.9225,9.5,2.585502094,0.0005
199.6994519,0.142520941,0.077846714,77.23817065,0.281685662,0.8793,11.5,2.585502094,0.0004
199.6994519,0.142520941,0.071423013,77.07469955,0.281685662,0.9438,13.1,2.590985798,0.0041
199.6994519,0.142520941,0.071423013,77.23817065,0.286903723,0.9541,15.2,2.585502094,0.0162
199.6994519,0.153141303,0.077846714,77.07469955,0.286903723,0.8738,9.6,2.590985798,0.0128
165.9188941,0.142520941,0.077846714,77.07469955,0.286903723,0.8526,8.7,2.152702444,0.003
165.9188941,0.153141303,0.071423013,77.07469955,0.286903723,0.8961,15.2,2.152702444,0.003
165.9188941,0.153141303,0.077846714,77.23817065,0.286903723,0.8317,11.6,2.148146347,0.004
165.9188941,0.153141303,0.077846714,77.07469955,0.281685662,0.8205,6.9,2.152702444,0.0096
165.9188941,0.153141303,0.077846714,77.07469955,0.286903723,0.8334,9,2.152702444,0.0049
192.0758247,0.152817292,0.065761132,89.81977701,0.295486571,0.8844,11.3,2.138458045,0.0232
183.3839345,0.152817292,0.065761132,89.81977701,0.295486571,0.8753,11.8,2.041687706,0.0009
192.0758247,0.14222505,0.065761132,89.81977701,0.295486571,0.904,11.9,2.138458045,0.0017
192.0758247,0.152817292,0.070583681,89.81977701,0.295486571,0.8332,15.7,2.138458045,0.0055
192.0758247,0.152817292,0.065761132,83.52411866,0.295486571,0.9442,10.5,2.299645034,0.0052
192.0758247,0.152817292,0.065761132,89.81977701,0.29716123,0.8884,10.3,2.138458045,0.023
192.0758247,0.14222505,0.070583681,83.52411866,0.29716123,0.9165,9.7,2.299645034,0.0009
183.3839345,0.152817292,0.070583681,83.52411866,0.29716123,0.888,12.6,2.195580599,0.0157
183.3839345,0.14222505,0.065761132,83.52411866,0.29716123,0.9585,12.1,2.195580599,0.0079
183.3839345,0.14222505,0.070583681,89.81977701,0.29716123,0.8475,12.7,2.041687706,0.0009
